Layer_7, torch.Size([138, 8]), 127.5, 106, 92.0
Layer_8, torch.Size([138, 8]), 137.0, 107, 97.5
Layer_9, torch.Size([138, 8]), 133.5, 105, 96.0
Layer_10, torch.Size([138, 8]), 153.5, 115, 107.0
Layer_11, torch.Size([138, 8]), 149.5, 120, 108.5
Layer_12, torch.Size([138, 8]), 142.5, 110, 100.0
Layer_13, torch.Size([138, 8]), 149.5, 112, 105.5
Layer_14, torch.Size([138, 8]), 153.0, 116, 106.5
Layer_15, torch.Size([138, 8]), 145.5, 109, 102.0
Layer_16, torch.Size([138, 8]), 140.0, 110, 99.5
Layer_17, torch.Size([138, 8]), 144.5, 112, 102.5
Layer_18, torch.Size([138, 8]), 125.5, 105, 93.5
Layer_19, torch.Size([138, 8]), 126.5, 106, 92.5
Layer_20, torch.Size([138, 8]), 131.0, 106, 93.5
Layer_21, torch.Size([138, 8]), 150.5, 114, 105.5
Layer_22, torch.Size([138, 8]), 146.5, 114, 103.0
Layer_23, torch.Size([138, 8]), 146.5, 116, 104.0
Layer_24, torch.Size([138, 8]), 145.5, 116, 103.5
Layer_25, torch.Size([138, 8]), 145.5, 111, 102.0
Layer_26, torch.Size([138, 8]), 149.5, 112, 104.0
Layer_27, torch.Size([138, 8]), 150.0, 115, 106.5
Layer_28, torch.Size([138, 8]), 139.0, 109, 97.5
Layer_29, torch.Size([138, 8]), 140.5, 108, 98.5
Layer_30, torch.Size([138, 8]), 123.5, 104, 90.0
Layer_31, torch.Size([138, 8]), 135.5, 110, 96.0
Layer_32, torch.Size([138, 8]), 142.0, 108, 98.5
Layer_33, torch.Size([138, 8]), 157.5, 120, 110.0
Layer_34, torch.Size([138, 8]), 147.0, 117, 103.5
Layer_35, torch.Size([138, 8]), 146.0, 117, 103.5
Layer_36, torch.Size([138, 8]), 156.0, 114, 107.0
Layer_37, torch.Size([138, 8]), 147.0, 111, 103.5
Layer_38, torch.Size([138, 8]), 151.5, 114, 106.0
Layer_39, torch.Size([138, 8]), 152.5, 110, 106.0
Layer_40, torch.Size([138, 8]), 146.5, 111, 102.0
Layer_41, torch.Size([138, 8]), 150.0, 113, 104.5
Layer_42, torch.Size([138, 8]), 148.0, 112, 103.0
Layer_43, torch.Size([138, 8]), 150.0, 110, 103.5
Layer_44, torch.Size([138, 8]), 152.0, 115, 106.5
Layer_45, torch.Size([138, 8]), 140.5, 112, 99.5
Layer_46, torch.Size([138, 8]), 151.0, 114, 107.5
Layer_47, torch.Size([138, 8]), 153.5, 113, 107.5
Layer_0, torch.Size([140, 8]), 174.0, 125, 120.5
Layer_1, torch.Size([140, 8]), 164.0, 126, 115.0
Layer_2, torch.Size([140, 8]), 164.5, 120, 114.5
Layer_3, torch.Size([140, 8]), 157.5, 119, 110.0
Layer_4, torch.Size([140, 8]), 147.0, 116, 104.0
