Layer_0, 123,0.08130081300813008
Layer_1, 122,0.040983606557377046
Layer_2, 124,0.07258064516129033
Layer_3, 124,0.04838709677419355
Layer_4, 120,0.041666666666666664
Layer_5, 119,0.1092436974789916
Layer_6, 118,0.05084745762711865
Layer_7, 114,0.017543859649122806
Layer_8, 123,0.06504065040650407
Layer_9, 122,0.06557377049180328
Layer_10, 125,0.08
Layer_11, 125,0.024
Layer_12, 124,0.04838709677419355
Layer_13, 124,0.08870967741935484
Layer_14, 126,0.023809523809523808
Layer_15, 125,0.04
Layer_16, 124,0.024193548387096774
Layer_17, 123,0.06504065040650407
Layer_18, 118,0.05084745762711865
Layer_19, 124,0.056451612903225805
Layer_20, 121,0.05785123966942149
Layer_21, 123,0.056910569105691054
Layer_22, 124,0.03225806451612903
Layer_23, 127,0.023622047244094488
Layer_24, 126,0.031746031746031744
Layer_25, 127,0.047244094488188976
Layer_26, 126,0.031746031746031744
Layer_27, 125,0.048
Layer_28, 126,0.031746031746031744
Layer_29, 124,0.03225806451612903
Layer_30, 120,0.041666666666666664
Layer_31, 124,0.024193548387096774
Layer_32, 124,0.04838709677419355
Layer_33, 125,0.072
Layer_34, 123,0.04878048780487805
Layer_35, 125,0.016
Layer_36, 126,0.015873015873015872
Layer_37, 121,0.04132231404958678
Layer_38, 125,0.032
Layer_39, 125,0.024
Layer_40, 123,0.04065040650406504
Layer_41, 120,0.058333333333333334
Layer_42, 118,0.03389830508474576
Layer_43, 118,0.05084745762711865
Layer_44, 114,0.043859649122807015
Layer_45, 117,0.02564102564102564
Layer_46, 114,0.03508771929824561
Layer_47, 113,0.04424778761061947
Layer_0, 111,0.10810810810810811
Layer_1, 116,0.1206896551724138
Layer_2, 105,0.17142857142857143
Layer_3, 105,0.19047619047619047
Layer_4, 99,0.12121212121212122
Layer_5, 102,0.2647058823529412
Layer_6, 97,0.20618556701030927
Layer_7, 98,0.22448979591836735
Layer_8, 99,0.16161616161616163
Layer_9, 98,0.16326530612244897
Layer_10, 105,0.14285714285714285
Layer_11, 108,0.16666666666666666
Layer_12, 106,0.16037735849056603
Layer_13, 105,0.22857142857142856
Layer_14, 107,0.19626168224299065
Layer_15, 105,0.13333333333333333
Layer_16, 111,0.17117117117117117
Layer_17, 111,0.18018018018018017
Layer_18, 94,0.11702127659574468
Layer_19, 96,0.16666666666666666
Layer_20, 103,0.14563106796116504
Layer_21, 94,0.23404255319148937
Layer_22, 104,0.15384615384615385
Layer_23, 105,0.19047619047619047
Layer_24, 106,0.1792452830188679
Layer_25, 103,0.18446601941747573
Layer_26, 104,0.1346153846153846
Layer_27, 99,0.1414141414141414
Layer_28, 106,0.1509433962264151
Layer_29, 110,0.19090909090909092
Layer_30, 101,0.09900990099009901
Layer_31, 104,0.18269230769230768
Layer_32, 100,0.11
Layer_33, 104,0.21153846153846154
Layer_34, 106,0.18867924528301888
Layer_35, 108,0.18518518518518517
Layer_36, 103,0.0970873786407767
Layer_37, 106,0.16981132075471697
Layer_38, 104,0.15384615384615385
Layer_39, 108,0.14814814814814814
Layer_40, 112,0.15178571428571427
Layer_41, 108,0.12962962962962962
Layer_42, 98,0.19387755102040816
Layer_43, 102,0.1568627450980392
Layer_44, 103,0.08737864077669903
Layer_45, 104,0.14423076923076922
Layer_46, 98,0.1326530612244898
Layer_47, 103,0.13592233009708737
Layer_0, 110,0.10909090909090909
Layer_1, 116,0.11206896551724138
Layer_2, 106,0.2169811320754717
Layer_3, 104,0.18269230769230768
Layer_4, 97,0.12371134020618557
Layer_5, 103,0.2621359223300971
Layer_6, 95,0.18947368421052632
Layer_7, 99,0.24242424242424243
Layer_8, 99,0.18181818181818182
Layer_9, 99,0.18181818181818182
Layer_10, 104,0.17307692307692307
Layer_11, 109,0.1743119266055046
Layer_12, 103,0.17475728155339806
Layer_13, 101,0.19801980198019803
Layer_14, 105,0.18095238095238095
Layer_15, 105,0.1619047619047619
Layer_16, 109,0.13761467889908258
Layer_17, 107,0.17757009345794392
Layer_18, 96,0.15625
Layer_19, 95,0.14736842105263157
Layer_20, 102,0.13725490196078433
Layer_21, 92,0.1956521739130435
Layer_22, 102,0.11764705882352941
Layer_23, 103,0.13592233009708737
Layer_24, 102,0.16666666666666666
Layer_25, 100,0.16
Layer_26, 101,0.1485148514851485
Layer_27, 97,0.15463917525773196
Layer_28, 101,0.15841584158415842
Layer_29, 109,0.1834862385321101
Layer_30, 102,0.17647058823529413
Layer_31, 99,0.16161616161616163
Layer_32, 102,0.10784313725490197
Layer_33, 103,0.17475728155339806
Layer_34, 103,0.1941747572815534
Layer_35, 106,0.16037735849056603
Layer_36, 103,0.10679611650485436
Layer_37, 106,0.16037735849056603
Layer_38, 104,0.19230769230769232
Layer_39, 111,0.1891891891891892
Layer_40, 106,0.08490566037735849
Layer_41, 105,0.12380952380952381
Layer_42, 99,0.20202020202020202
Layer_43, 101,0.1485148514851485
Layer_44, 102,0.0784313725490196
Layer_45, 106,0.14150943396226415
Layer_46, 102,0.09803921568627451
Layer_47, 103,0.10679611650485436
