Layer 26: Entropy=3.8855, Top-4 Coverage=0.1850, Self-Transition=0.2862
Layer 27: Entropy=3.9260, Top-4 Coverage=0.1947, Self-Transition=0.2939
Layer 28: Entropy=3.8903, Top-4 Coverage=0.1952, Self-Transition=0.2992
Layer 29: Entropy=3.8202, Top-4 Coverage=0.1991, Self-Transition=0.3153
Layer 30: Entropy=3.7185, Top-4 Coverage=0.2075, Self-Transition=0.2947
Layer 31: Entropy=3.8805, Top-4 Coverage=0.1894, Self-Transition=0.2638
Layer 32: Entropy=3.8347, Top-4 Coverage=0.1858, Self-Transition=0.2805
Layer 33: Entropy=3.9351, Top-4 Coverage=0.1627, Self-Transition=0.2510
Layer 34: Entropy=3.9888, Top-4 Coverage=0.1707, Self-Transition=0.2680
Layer 35: Entropy=3.9948, Top-4 Coverage=0.1789, Self-Transition=0.2597
Layer 36: Entropy=4.0695, Top-4 Coverage=0.1617, Self-Transition=0.2534
Layer 37: Entropy=3.8998, Top-4 Coverage=0.1757, Self-Transition=0.2731
Layer 38: Entropy=3.9683, Top-4 Coverage=0.1665, Self-Transition=0.2429
Layer 39: Entropy=3.9952, Top-4 Coverage=0.1696, Self-Transition=0.2617
Layer 40: Entropy=3.8299, Top-4 Coverage=0.1861, Self-Transition=0.2581
Layer 41: Entropy=3.7332, Top-4 Coverage=0.1594, Self-Transition=0.2403
Layer 42: Entropy=3.6746, Top-4 Coverage=0.1539, Self-Transition=0.2464
Layer 43: Entropy=3.7180, Top-4 Coverage=0.1638, Self-Transition=0.2482
Layer 44: Entropy=3.5765, Top-4 Coverage=0.1753, Self-Transition=0.2451
Layer 45: Entropy=3.6966, Top-4 Coverage=0.1793, Self-Transition=0.2476
Layer 46: Entropy=3.5834, Top-4 Coverage=0.1527, Self-Transition=0.2613
Layer 47: Entropy=3.4523, Top-4 Coverage=0.1657, Self-Transition=0.2816
Layer 0: Entropy=3.7483, Top-4 Coverage=0.2180, Self-Transition=0.2819
Layer 1: Entropy=3.9170, Top-4 Coverage=0.2068, Self-Transition=0.3266
Layer 2: Entropy=3.8389, Top-4 Coverage=0.1971, Self-Transition=0.3303
Layer 3: Entropy=3.7093, Top-4 Coverage=0.2228, Self-Transition=0.3568
Layer 4: Entropy=3.5944, Top-4 Coverage=0.2274, Self-Transition=0.3841
Layer 5: Entropy=3.5484, Top-4 Coverage=0.2614, Self-Transition=0.3978
Layer 6: Entropy=3.5460, Top-4 Coverage=0.2257, Self-Transition=0.4498
Layer 7: Entropy=3.5765, Top-4 Coverage=0.2241, Self-Transition=0.4297
Layer 8: Entropy=3.6783, Top-4 Coverage=0.2275, Self-Transition=0.4161
Layer 9: Entropy=3.6449, Top-4 Coverage=0.2419, Self-Transition=0.4115
Layer 10: Entropy=3.8282, Top-4 Coverage=0.2206, Self-Transition=0.4015
Layer 11: Entropy=3.8563, Top-4 Coverage=0.2187, Self-Transition=0.3960
Layer 12: Entropy=3.8966, Top-4 Coverage=0.2085, Self-Transition=0.3659
